Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.231048,29.009128,29.72,-0.59,-1.34,9.92,-0.06,-0.03,-0.01
40.231048,29.009128,29.72,-0.56,-1.68,9.95,-0.06,-0.01,-0.0
40.231048,29.009128,29.72,-0.59,-1.53,10.03,0.01,-0.01,-0.01
40.231048,29.009128,29.72,-0.66,-2.0,8.89,0.02,0.01,-0.02
40.231048,29.009128,29.72,-0.54,-2.42,8.3,0.01,-0.02,-0.0
40.231048,29.009128,29.72,-0.75,-1.56,8.76,0.03,-0.01,-0.03
40.231048,29.009128,29.72,-0.71,-0.96,11.49,0.01,0.01,-0.01
40.231048,29.009128,29.72,-0.68,-1.64,7.65,0.06,0.03,-0.02
40.231048,29.009128,29.72,-0.59,-1.69,9.83,-0.03,-0.0,-0.01
40.230968,29.009128,34.17,-1.03,-1.09,11.46,-0.06,0.04,-0.03
40.230968,29.009128,34.17,-0.67,-1.92,9.56,0.01,-0.01,-0.01
40.230968,29.009128,34.17,0.05,-1.82,11.13,0.07,-0.07,-0.0
40.230968,29.009128,34.17,-0.91,-0.98,11.61,0.02,0.02,-0.02
40.230968,29.009128,34.17,-0.39,-1.63,9.65,-0.01,0.0,-0.01
40.230968,29.009128,34.17,-0.8,-1.4,9.45,0.05,0.01,-0.01
40.230968,29.009128,34.17,-0.68,-1.19,10.97,0.0,0.0,-0.02
40.230876,29.009128,38.02,-0.45,-1.2,10.24,0.01,0.01,-0.0
40.230876,29.009128,38.02,-0.9,-1.68,9.53,-0.03,0.02,-0.01
40.230876,29.009128,38.02,-0.35,-1.3,10.81,0.02,0.01,-0.01
40.230876,29.009128,38.02,-0.62,-1.33,10.97,0.01,0.0,-0.01
40.230876,29.009128,38.02,-0.69,-1.32,8.88,0.0,-0.02,-0.0
40.230876,29.009128,38.02,-0.14,-1.83,9.72,0.06,-0.01,0.0
40.230773,29.009126,42.04,-0.26,-1.67,10.06,0.02,-0.01,0.01
40.230773,29.009126,42.04,-0.08,-1.64,8.9,0.0,-0.02,0.02
40.230773,29.009126,42.04,-0.87,-0.66,12.41,0.01,-0.01,0.02
40.230773,29.009126,42.04,-0.47,-1.83,8.72,0.02,-0.03,-0.0
40.230773,29.009126,42.04,-0.08,-1.26,8.4,0.02,-0.05,0.02
40.230773,29.009126,42.04,-0.91,-1.1,11.31,0.01,0.03,0.02
40.230773,29.009126,42.04,-0.5,-1.3,7.89,0.06,-0.02,0.02
40.230773,29.009126,42.04,0.11,-1.37,10.2,-0.01,-0.05,0.01
40.230663,29.009128,45.73,-0.26,-0.89,10.12,0.01,-0.03,0.01
40.230663,29.009128,45.73,-0.31,-1.14,10.7,0.06,-0.02,0.01
40.230663,29.009128,45.73,-0.38,-1.08,10.24,-0.02,-0.02,0.0
40.230663,29.009128,45.73,-0.69,-0.09,10.01,-0.01,-0.03,0.04
40.230663,29.009128,45.73,-0.48,0.9,9.85,-0.27,-0.06,-0.03
40.230541,29.009132,48.69,-1.07,0.88,13.18,0.03,0.0,0.01
40.230541,29.009132,48.69,-1.16,0.76,9.91,0.0,0.02,-0.01
40.230541,29.009132,48.69,-0.81,0.7,9.67,-0.02,0.01,-0.01
40.230541,29.009132,48.69,-1.57,1.48,11.83,-0.02,0.02,-0.03
40.230541,29.009132,48.69,-0.85,1.18,9.28,0.03,0.03,-0.02
40.230541,29.009132,48.69,-1.17,1.23,9.75,0.06,0.01,0.01
40.230541,29.009132,48.69,-1.41,0.87,9.89,0.03,0.02,-0.02
40.230541,29.009132,48.69,-0.54,2.0,10.45,0.04,0.01,-0.0
40.230541,29.009132,48.69,-0.82,1.5,10.3,0.02,0.0,0.0
40.230541,29.009132,48.69,-1.41,0.81,9.54,0.0,-0.03,0.01
40.230541,29.009132,48.69,-0.23,1.61,10.22,0.01,-0.0,-0.01
40.23043,29.009136,42.5,0.27,1.71,9.65,0.04,-0.02,0.01
40.23043,29.009136,42.5,-1.19,0.57,8.86,0.01,0.01,-0.01
40.23043,29.009136,42.5,-0.53,1.4,11.09,-0.02,-0.06,0.01
40.23043,29.009136,42.5,-1.06,1.36,10.31,0.01,0.01,-0.01
40.23043,29.009136,42.5,-1.36,1.14,10.91,-0.05,0.02,-0.02
40.23043,29.009136,42.5,-0.58,0.94,9.43,0.03,-0.01,-0.01
40.23043,29.009136,42.5,-1.09,1.84,11.64,0.02,-0.0,-0.01
40.23043,29.009136,42.5,-0.72,0.74,7.41,0.08,-0.01,-0.02
40.23043,29.009136,42.5,-0.35,1.47,10.04,0.02,0.0,-0.01
40.23043,29.009136,42.5,-1.14,1.58,10.34,-0.01,-0.01,-0.01
40.230339,29.00914,34.15,-0.38,1.44,9.93,-0.0,-0.02,-0.01
40.230339,29.00914,34.15,-1.2,1.17,9.34,0.03,-0.01,-0.0
40.230339,29.00914,34.15,-0.42,1.76,10.52,0.05,0.01,-0.01
40.230339,29.00914,34.15,-1.13,0.89,10.47,0.05,-0.01,-0.01
40.230339,29.00914,34.15,-0.43,1.2,10.08,0.0,-0.0,-0.01
40.230339,29.00914,34.15,-1.47,1.35,10.85,-0.01,0.01,-0.02
40.230339,29.00914,34.15,-1.1,0.8,9.29,0.05,-0.02,-0.0
40.230339,29.00914,34.15,-1.13,1.22,10.4,0.06,-0.02,0.0
40.230262,29.009141,26.22,-0.24,1.19,10.04,-0.0,-0.01,-0.01
40.230262,29.009141,26.22,-0.97,1.16,10.07,-0.01,0.01,-0.02
40.230262,29.009141,26.22,-1.03,1.27,9.94,0.01,-0.01,-0.0
40.230262,29.009141,26.22,-0.34,0.8,9.71,0.04,-0.04,-0.0
40.230262,29.009141,26.22,-0.45,1.32,10.73,-0.02,0.0,-0.01
40.230213,29.009145,18.09,-0.43,0.89,10.61,-0.0,-0.01,0.0
40.230213,29.009145,18.09,-1.24,0.89,10.59,0.02,0.0,-0.02
40.230213,29.009145,18.09,-0.59,1.62,11.37,-0.01,-0.01,-0.01
40.230182,29.009145,9.98,-0.82,0.4,10.07,0.02,0.01,0.01
40.230182,29.009145,9.98,-0.75,0.05,10.19,0.0,-0.0,-0.01
40.230182,29.009145,9.98,-0.81,-0.17,9.85,0.01,-0.0,-0.01
40.230167,29.009147,3.0,-0.82,-0.91,10.2,0.03,0.01,-0.0
40.230163,29.009147,1.02,-0.57,-1.46,10.15,0.1,0.0,-0.0
40.230163,29.009147,1.02,-0.71,-1.84,10.49,0.14,0.01,-0.0
40.230163,29.009147,1.02,-0.61,-1.88,9.91,0.02,-0.01,-0.03
